['2024-04-12', '1712948246', 'facebook.com.', '222', 'IN', 'A', '108.160.165.62', '1006022', 'fd00:114:514:4:dcb0:cdff:fe1c:e2a4']['A', 'www.mp4ba.com.', 'A', 'www.mp4ba.com.', '151', '1712882269000', '0.24117466807365417', '866401023', '0', '0', 'ans', '108.160.165.62', '', 'US', '19679', '[19679]', '108.160.160.0/20', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-12', '1712952441', 'google.com.', '60', 'IN', 'A', '8.7.198.46', '53274', '240e:b67:5ed:7500:1:c6ff:fe5f:fe16']['A', 'www.xf3a7u1u.xyz.', 'A', 'www.xf3a7u1u.xyz.', '60', '1712888421000', '1.008165419101715', '866401023', '0', '0', 'ans', '8.7.198.46', '', 'US', '3356', '[3356]', '8.0.0.0/12', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-12', '1712955163', 'google.com.', '418', 'IN', 'A', '216.239.38.120', '15535', '2001:14e8:0:405:6666:b3ff:fed1:2d5c']['A', 'limless.online.', 'A', 'limless.online.', '300', '1712882475000', '0.009572982788085938', '866401023', '0', '0', 'ans', '216.239.38.120', '', 'US', '15169', '[15169]', '216.239.38.0/24', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-12', '1712903673', 'facebook.com.', '174', 'IN', 'A', '199.96.62.17', '53274', '240e:b67:5ed:7500:1:c6ff:fe5f:fe16']['A', 'www.39shubao.com.', 'A', 'www.39shubao.com.', '106', '1712886649000', '1.0409424006938934', '866401023', '0', '0', 'ans', '199.96.62.17', '', 'US', '--', '[--]', '--', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-12', '1712953796', 'google.com.', '84', 'IN', 'A', '216.58.212.174', '15093', '45.80.168.194']['A', 'www.s7610rir.pw.', 'A', 'www.s7610rir.pw.', '86400', '1712885898000', '0.04306937754154205', '866401023', '0', '0', 'ans', '216.58.212.174', '', 'US', '15169', '[15169]', '216.58.212.0/24', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-12', '1712954544', 'facebook.com.', '132', 'IN', 'A', '104.16.251.55', '54725', '2409:8a55:2ea7:6010:1:20ff:fe20:90fc']['A', 'texcn.cn.', 'A', 'texcn.cn.', '140', '1712882027000', '0.2493029311299324', '866401023', '0', '0', 'ans', '104.16.251.55', '', 'US', '13335', '[13335]', '104.16.240.0/20', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-12', '1712902886', 'google.com.', '169', 'IN', 'A', '216.58.208.110', '24028', '77.175.222.79']['A', 'www.youtube.pr.', 'A', 'youtube-ui.l.google.com.', '300', '1712882304000', '0.005544841289520264', '866401023', '0', '0', 'ans', '216.58.208.110', '', 'US', '15169', '[15169]', '216.58.208.0/24', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-12', '1712956438', 'google.com.', '60', 'IN', 'A', '59.24.3.174', '1007740', '2409:8a55:d847:cd71:fc82:9ff:fe9a:b658']['A', 'www.xfertzhw.xyz.', 'A', 'www.xfertzhw.xyz.', '60', '1712888545000', '0.26037102192640305', '866401023', '0', '0', 'ans', '59.24.3.174', '', 'KR', '4766', '[4766]', '59.24.0.0/13', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-12', '1712956307', 'ripe.net.', '0', 'IN', 'A', '10.0.0.1', '62194', '98.53.206.239']['A', 'web.pk.', 'A', 'web.pk.', '86400', '1712885493000', '0.012375026941299438', '866401023', '0', '0', 'ans', '10.0.0.1', '', '-', '--', '[--]', '--', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-12', '1712951893', 'google.com.', '35', 'IN', 'A', '142.250.185.78', '62173', '2a02:810d:aa3f:e55f:da58:d7ff:fe03:a3b']['A', 'joyfilm.cam.', 'A', 'joyfilm.cam.', '268', '1712881818000', '0.01751011610031128', '866401023', '0', '0', 'ans', '142.250.185.78', '', 'US', '15169', '[15169]', '142.250.185.0/24', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-12', '1712940646', 'ripe.net.', '60', 'IN', 'A', '208.91.112.55', '33832', '82.66.48.205']['A', 'www.fiscalizacion.cl.', 'A', 'www.fiscalizacion.cl.', '60', '1712882152000', '0.21114474534988403', '866401023', '0', '0', 'ans', '208.91.112.55', '', 'US', '40934', '[40934]', '208.91.112.0/24', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
