['2024-04-10', '1712767010', 'facebook.com.', '88', 'IN', 'A', '69.171.242.11', '55328', '240e:390:898:1140:1:75ff:feac:24bb']['A', 'thefacebook.co.in.', 'A', 'thefacebook.co.in.', '86400', '1712712892000', '0.009512528777122498', '866401023', '0', '0', 'ans', '69.171.242.11', '', 'US', '32934', '[32934]', '69.171.240.0/20', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-10', '1712734734', 'facebook.com.', '232', 'IN', 'A', '199.59.150.45', '1006022', '58.41.14.231']['A', 'www.91mjw.com.', 'A', 'www.91mjw.com.', '175', '1712710873000', '0.22636756300926208', '866401023', '0', '0', 'ans', '199.59.150.45', '', 'US', '13414', '[13414]', '199.59.148.0/22', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-10', '1712778598', 'facebook.com.', '2', 'IN', 'A', '0.0.0.0', '1005507', '151.251.136.49']['A', 'www.casale-group.com.cn.', 'A', 'www.casale-group.com.cn.', '14400', '1712716252000', '0.033539146184921265', '866401023', '0', '0', 'ans', '0.0.0.0', '', '-', '--', '[--]', '--', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-10', '1712775808', 'facebook.com.', '161', 'IN', 'A', '108.160.170.41', '1000418', '2408:4005:200:5006::1']['A', 'hideipproxy.com.', 'A', 'hideipproxy.com.', '67', '1712710993000', '0.38410067558288574', '866401023', '0', '0', 'ans', '108.160.170.41', '', 'US', '19679', '[19679]', '108.160.160.0/20', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-10', '1712783175', 'google.com.', '75', 'IN', 'A', '142.250.185.206', '51952', '46.21.81.95']['A', 'kinosimka.one.', 'A', 'kinosimka.one.', '94', '1712709375000', '0.013472944498062134', '866401023', '0', '0', 'ans', '142.250.185.206', '', 'US', '15169', '[15169]', '142.250.185.0/24', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-10', '1712782362', 'google.com.', '418', 'IN', 'A', '216.239.38.120', '15535', '2001:14e8:0:405:6666:b3ff:fed1:2d5c']['A', 'limless.online.', 'A', 'limless.online.', '300', '1712710086000', '0.0060725584626197815', '866401023', '0', '0', 'ans', '216.239.38.120', '', 'US', '15169', '[15169]', '216.239.38.0/24', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-10', '1712783840', 'facebook.com.', '13', 'IN', 'A', '157.240.247.35', '29989', '84.87.175.131']['A', 'www.fbook.mobi.', 'A', 'star-mini.c10r.facebook.com.', '60', '1712716228000', '0.05240267515182495', '866401023', '0', '0', 'ans', '157.240.247.35', '', 'NL', '32934', '[32934]', '157.240.247.0/24', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-10', '1712769225', 'facebook.com.', '183', 'IN', 'A', '199.59.149.207', '1005739', '112.74.38.239']['A', 'www.avninga.com.', 'A', 'www.avninga.com.', '227', '1712711605000', '0.24418142437934875', '866401023', '0', '0', 'ans', '199.59.149.207', '', 'US', '13414', '[13414]', '199.59.148.0/22', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-10', '1712779724', 'google.com.', '186', 'IN', 'A', '142.250.184.14', '60135', '83.138.206.165']['A', 'www.somepools555.pw.', 'A', 'www.somepools555.pw.', '1799', '1712715268000', '0.012984752655029297', '866401023', '0', '0', 'ans', '142.250.184.14', '', 'US', '15169', '[15169]', '142.250.184.0/24', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-10', '1712732782', 'google.com.', '58', 'IN', 'A', '172.217.20.206', '60601', '83.141.171.37']['A', 'www.r77vh0.pw.', 'A', 'www.r77vh0.pw.', '86400', '1712715317000', '0.04064816236495972', '866401023', '0', '0', 'ans', '172.217.20.206', '', 'US', '15169', '[15169]', '172.217.20.0/24', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
