['2024-04-13', '1713028373', 'facebook.com.', '86400', 'IN', 'A', '127.0.0.1', '4233', '83.139.179.34']['A', 'www.bscasino84.ru.', 'A', 'www.bscasino84.ru.', '120', '1712968881000', '0.006934016942977905', '866401023', '0', '0', 'ans', '127.0.0.1', '', '-', '--', '[--]', '--', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-13', '1713034826', 'google.com.', '151', 'IN', 'A', '142.251.39.110', '11035', '85.146.95.127']['A', 'www.business.site.', 'A', 'www3.l.google.com.', '300', '1712968847000', '0.03993317484855652', '866401023', '0', '0', 'ans', '142.251.39.110', '', 'US', '15169', '[15169]', '142.251.39.0/24', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-13', '1713038290', 'google.com.', '164', 'IN', 'A', '142.250.185.238', '62173', '2a02:810d:aa3f:e55f:da58:d7ff:fe03:a3b']['A', 'xn--90aavmfi7b1d.xyz.', 'A', 'xn--90aavmfi7b1d.xyz.', '188', '1712968632000', '0.012842059135437012', '866401023', '0', '0', 'ans', '142.250.185.238', '', 'US', '15169', '[15169]', '142.250.185.0/24', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-13', '1713037322', 'facebook.com.', '110', 'IN', 'A', '69.63.178.13', '14584', '110.231.228.80']['A', 'hideipproxy.com.', 'A', 'hideipproxy.com.', '251', '1712969934000', '0.4269979000091553', '866401023', '0', '0', 'ans', '69.63.178.13', '', 'US', '32934', '[32934]', '69.63.176.0/21', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-13', '1713000014', 'google.com.', '334', 'IN', 'A', '172.217.23.206', '62933', '2a02:a466:a67:0:da58:d7ff:fe03:8f0']['A', 'www.youtube.pr.', 'A', 'youtube-ui.l.google.com.', '300', '1712968817000', '0.022705495357513428', '866401023', '0', '0', 'ans', '172.217.23.206', '', 'DE', '15169', '[15169]', '172.217.23.0/24', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-13', '1713027026', 'facebook.com.', '150', 'IN', 'A', '31.13.81.4', '18192', '158.132.12.21']['A', 'www.cdaxpropsvc.net.', 'A', 'www.cdaxpropsvc.net.', '233', '1712973634000', '0.2271362543106079', '866401023', '0', '0', 'ans', '31.13.81.4', '', 'PL', '32934', '[32934]', '31.13.64.0/18', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-13', '1713042707', 'ripe.net.', '0', 'IN', 'A', '10.0.0.1', '62194', '98.53.206.239']['A', 'dc-storm.com.', 'A', 'dc-storm.com.', '86400', '1712968782000', '0.008582167327404022', '866401023', '0', '1', 'ans', '10.0.0.1', '', '-', '--', '[--]', '--', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-13', '1713024523', 'google.com.', '290', 'IN', 'A', '216.58.221.206', '60297', '121.121.199.141']['A', 'www.scnservers.net.', 'A', 'scnservers.net.', '300', '1712968527000', '0.01337742805480957', '866401023', '0', '0', 'ans', '216.58.221.206', '', 'US', '15169', '[15169]', '216.58.221.0/24', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-13', '1713033063', 'google.com.', '57', 'IN', 'A', '172.217.168.206', '21831', '188.212.112.164']['A', 'youtube.se.', 'A', 'youtube.se.', '300', '1712968565000', '0.008665107190608978', '866401023', '0', '0', 'ans', '172.217.168.206', '', 'US', '15169', '[15169]', '172.217.0.0/16', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-13', '1713028013', 'facebook.com.', '181', 'IN', 'A', '65.49.26.97', '1005595', '59.110.138.30']['A', 'cdaxpropsvc.net.', 'A', 'cdaxpropsvc.net.', '102', '1712973634000', '0.4485624060034752', '866401023', '0', '0', 'ans', '65.49.26.97', '', 'US', '60154', '[60154]', '65.49.26.0/24', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
