['2024-04-11', '1712849674', 'facebook.com.', '108', 'IN', 'A', '157.240.6.35', '1003540', '59.110.139.81']['A', 'www.globalsdn.com.', 'A', 'www.globalsdn.com.', '157', '1712801267000', '0.7003905177116394', '866401023', '0', '0', 'ans', '157.240.6.35', '', 'CO', '32934', '[32934]', '157.240.0.0/17', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-11', '1712865252', 'google.com.', '97', 'IN', 'A', '216.58.212.174', '62173', '2a02:810d:aa3f:e55f:da58:d7ff:fe03:a3b']['A', 'www.s7610rir.pw.', 'A', 'www.s7610rir.pw.', '86400', '1712799457000', '0.04071332514286041', '866401023', '0', '0', 'ans', '216.58.212.174', '', 'US', '15169', '[15169]', '216.58.212.0/24', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-11', '1712860583', 'facebook.com.', '216', 'IN', 'A', '104.244.46.9', '1003978', '39.102.163.20']['A', 'www.1xbet88.com.', 'A', 'www.1xbet88.com.', '149', '1712794089000', '0.2671750783920288', '866401023', '0', '0', 'ans', '104.244.46.9', '', 'US', '13414', '[13414]', '104.244.46.0/24', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-11', '1712823361', 'google.com.', '33', 'IN', 'A', '172.217.18.142', '1006555', '152.36.193.138']['A', 'www.apanel.link.', 'A', 'www.apanel.link.', '1799', '1712796036000', '0.015749335289001465', '866401023', '0', '0', 'ans', '172.217.18.142', '', 'DE', '15169', '[15169]', '172.217.18.0/24', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-11', '1712868760', 'facebook.com.', '418', 'IN', 'A', '10.10.34.36', '15535', '2001:14e8:0:405:6666:b3ff:fed1:2d5c']['A', 'www.musicguitar.ir.', 'A', 'www.musicguitar.ir.', '418', '1712796631000', '0.09642551839351654', '866401023', '0', '0', 'ans', '10.10.34.36', '', '-', '--', '[--]', '--', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-11', '1712857258', 'google.com.', '222', 'IN', 'A', '142.251.36.14', '51625', '62.45.43.187']['A', 'dataliberation.org.', 'A', 'dataliberation.org.', '300', '1712799764000', '0.008907020092010498', '866401023', '0', '0', 'ans', '142.251.36.14', '', 'US', '15169', '[15169]', '142.251.36.0/24', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-11', '1712864218', 'facebook.com.', '193', 'IN', 'A', '157.240.0.18', '1007740', '2409:8a55:d84e:7c31:fc82:9ff:fe9a:b658']['A', 'www.xiguayul.com.', 'A', 'www.xiguayul.com.', '204', '1712794051000', '17.110190629959106', '866401023', '0', '0', 'ans', '157.240.0.18', '', 'DE', '32934', '[32934]', '157.240.0.0/24', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-11', '1712867764', 'facebook.com.', '247', 'IN', 'A', '104.244.46.52', '1003715', '159.75.8.103']['A', 'www.aichatos.com.', 'A', 'www.aichatos.com.', '184', '1712794392000', '0.15933845192193985', '866401023', '0', '0', 'ans', '104.244.46.52', '', 'US', '13414', '[13414]', '104.244.46.0/24', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-11', '1712824120', 'google.com.', '185', 'IN', 'A', '142.250.185.206', '16605', '185.33.32.177']['A', 'xn--80adkjjeri3a.com.', 'A', 'xn--80adkjjeri3a.com.', '185', '1712794828000', '0.019842445850372314', '866401023', '0', '0', 'ans', '142.250.185.206', '', 'US', '15169', '[15169]', '142.250.185.0/24', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-11', '1712870238', 'facebook.com.', '15', 'IN', 'A', '157.240.247.35', '29989', '84.87.175.131']['A', 'www.facebookinsightsdata.com.', 'A', 'star-mini.c10r.facebook.com.', '60', '1712800066000', '0.012414500117301941', '866401023', '0', '0', 'ans', '157.240.247.35', '', 'NL', '32934', '[32934]', '157.240.247.0/24', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
