['2024-04-12', '1712949556', 'twitter.com.', '694', 'IN', 'A', '104.244.42.65', '26439', '2a10:d582:280b:0:c66e:1fff:fe3a:d734']['A', 'twitter.jp.', 'A', 'twitter.jp.', '1800', '1712888539000', '0.006755553185939789', '866401023', '0', '0', 'ans', '104.244.42.65', '', 'US', '13414', '[13414]', '104.244.42.0/24', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-12', '1712946231', 'nytimes.com.', '59', 'IN', 'A', '151.101.129.164', '22814', '2403:5816:9138:0:ea94:f6ff:fe48:c8bc']['A', 'nytco.com.', 'A', 'nytco.com.', '500', '1712882288000', '0.009866736829280853', '866401023', '0', '0', 'ans', '151.101.129.164', '', 'US', '54113', '[54113]', '151.101.128.0/22', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-12', '1712942376', 'univ-grenoble-alpes.fr.', '0', 'IN', 'A', '10.0.0.1', '62194', '98.53.206.239']['A', 'web.pk.', 'A', 'web.pk.', '86400', '1712885493000', '0.012375026941299438', '866401023', '0', '0', 'ans', '10.0.0.1', '', '-', '--', '[--]', '--', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-12', '1712932500', 'twitter.com.', '135', 'IN', 'A', '108.160.170.39', '53274', '240e:b67:5ed:7500:1:c6ff:fe5f:fe16']['A', 'www.91mjw.com.', 'A', 'www.91mjw.com.', '90', '1712883216000', '0.5481999218463898', '866401023', '0', '0', 'ans', '108.160.170.39', '', 'US', '19679', '[19679]', '108.160.160.0/20', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-12', '1712946289', 'twitter.com.', '98', 'IN', 'A', '162.125.34.133', '1005595', '2408:400a:7c:4301:c2bd:8008:b428:cfca']['A', 'xiguayul.com.', 'A', 'xiguayul.com.', '165', '1712880532000', '17.623601973056793', '866401023', '0', '0', 'ans', '162.125.34.133', '', 'US', '19679', '[19679]', '162.125.32.0/21', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-12', '1712948827', 'twitter.com.', '60', 'IN', 'A', '10.10.34.35', '7027', '2a05:9a00:1001:1::2']['A', 'www.jd-vpn.shop.', 'A', 'www.jd-vpn.shop.', '300', '1712883597000', '0.007350020110607147', '866401023', '0', '0', 'ans', '10.10.34.35', '', '-', '--', '[--]', '--', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-12', '1712938098', 'twitter.com.', '239', 'IN', 'A', '98.159.108.57', '1003936', '159.75.8.103']['A', '77169.com.', 'A', '77169.com.', '196', '1712888015000', '0.25269418954849243', '866401023', '0', '0', 'ans', '98.159.108.57', '', 'US', '--', '[--]', '--', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-12', '1712889193', 'twitter.com.', '100', 'IN', 'A', '203.111.254.117', '1003715', '159.75.8.103']['A', 'www.texcn.cn.', 'A', 'www.texcn.cn.', '186', '1712882027000', '0.2600119337439537', '866401023', '0', '0', 'ans', '203.111.254.117', '', 'ID', '--', '[--]', '--', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-12', '1712937686', 'twitter.com.', '164', 'IN', 'A', '69.171.229.11', '61553', '2408:8248:1a13:1260:da58:d7ff:fe03:103']['A', 'thefacebook.co.in.', 'A', 'thefacebook.co.in.', '86400', '1712885203000', '0.015194341540336609', '866401023', '0', '0', 'ans', '69.171.229.11', '', 'US', '32934', '[32934]', '69.171.224.0/20', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-12', '1712905219', 'nytimes.com.', '146', 'IN', 'A', '108.160.167.158', '62897', '27.38.112.69']['A', 'www.hideipproxy.com.', 'A', 'www.hideipproxy.com.', '253', '1712883435000', '0.2645333707332611', '866401023', '0', '0', 'ans', '108.160.167.158', '', 'US', '19679', '[19679]', '108.160.160.0/20', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
