['2024-04-09', '1712671366', 'twitter.com.', '207', 'IN', 'A', '104.244.43.182', '1001082', '116.6.54.135']['A', 'xbiquke.com.', 'A', 'xbiquke.com.', '252', '1712626799000', '0.22353863716125488', '866401023', '0', '0', 'ans', '104.244.43.182', '', 'US', '54113', '[54113]', '104.244.43.0/24', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-09', '1712690355', 'univ-grenoble-alpes.fr.', '2431', 'IN', 'A', '195.83.24.194', '26439', '2a10:d582:280b:0:c66e:1fff:fe3a:d734']['A', 'www.univ-grenoble-alpes.fr.', 'A', 'ksup.u-ga.fr.', '3600', '1712623533000', '0.057253241539001465', '866401023', '0', '0', 'ans', '195.83.24.194', '', 'FR', '2200', '[2200]', '195.83.0.0/16', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-09', '1712689764', 'twitter.com.', '418', 'IN', 'A', '10.10.34.36', '6591', '2a07:4280:0:48::40']['A', 'www.kameshyar.com.', 'A', 'www.kameshyar.com.', '418', '1712624896000', '0.09150102734565735', '866401023', '0', '0', 'ans', '10.10.34.36', '', '-', '--', '[--]', '--', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-09', '1712640892', 'nytimes.com.', '137', 'IN', 'A', '174.36.196.242', '61553', '2408:8248:1a13:1260:da58:d7ff:fe03:103']['A', 'www.xsbiquge.com.', 'A', 'www.xsbiquge.com.', '209', '1712623631000', '0.2514588162302971', '866401023', '0', '0', 'ans', '174.36.196.242', '', 'US', '36351', '[36351]', '174.36.192.0/18', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-09', '1712684896', 'twitter.com.', '218', 'IN', 'A', '128.242.245.253', '61553', '58.23.45.62']['A', '181.com.', 'A', '181.com.', '244', '1712625470000', '0.23342329263687134', '866401023', '0', '0', 'ans', '128.242.245.253', '', 'US', '2914', '[2914]', '128.242.0.0/16', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-09', '1712683568', 'nytimes.com.', '213', 'IN', 'A', '31.13.86.21', '55328', '240e:390:898:1140:1:75ff:feac:24bb']['A', 'www.avninga.com.', 'A', 'www.avninga.com.', '91', '1712624868000', '0.13384291529655457', '866401023', '0', '0', 'ans', '31.13.86.21', '', 'IT', '32934', '[32934]', '31.13.86.0/24', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-09', '1712626865', 'twitter.com.', '123', 'IN', 'A', '156.233.67.243', '1000418', '2408:4005:200:5006::1']['A', '383.com.', 'A', '383.com.', '162', '1712629424000', '0.7457102239131927', '866401023', '0', '0', 'ans', '156.233.67.243', '', 'BR', '984', '[984]', '156.233.64.0/18', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-09', '1712629475', 'nytimes.com.', '80', 'IN', 'A', '31.13.73.9', '1003540', '59.110.139.81']['A', 'xsbiquge.com.', 'A', 'xsbiquge.com.', '101', '1712623630000', '0.23169167339801788', '866401023', '0', '0', 'ans', '31.13.73.9', '', 'IE', '32934', '[32934]', '31.13.73.0/24', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-09', '1712646415', 'nytimes.com.', '112', 'IN', 'A', '69.171.228.74', '1007740', '120.229.116.170']['A', 'xs5200.com.', 'A', 'xs5200.com.', '108', '1712624318000', '0.3395099639892578', '866401023', '0', '0', 'ans', '69.171.228.74', '', 'US', '32934', '[32934]', '69.171.224.0/20', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-09', '1712682298', 'nytimes.com.', '96', 'IN', 'A', '103.228.130.27', '1003982', '113.113.124.75']['A', 'meijutt.com.', 'A', 'meijutt.com.', '149', '1712623176000', '0.17849120497703552', '866401023', '0', '0', 'ans', '103.228.130.27', '', 'ES', '29119', '[29119]', '103.228.128.0/22', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
