['2024-04-11', '1712816368', 'nytimes.com.', '253', 'IN', 'A', '162.125.2.3', '1001082', '116.6.54.135']['A', 'raidcall.com.', 'A', 'raidcall.com.', '76', '1712797744000', '0.23896390199661255', '866401023', '0', '0', 'ans', '162.125.2.3', '', 'US', '19679', '[19679]', '162.125.2.0/24', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-11', '1712847079', 'twitter.com.', '136', 'IN', 'A', '31.13.83.2', '60314', '180.154.35.109']['A', 'www.meijutt.com.', 'A', 'www.meijutt.com.', '88', '1712795807000', '0.2615954875946045', '866401023', '0', '0', 'ans', '31.13.83.2', '', 'ES', '32934', '[32934]', '31.13.83.0/24', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-11', '1712857713', 'twitter.com.', '1465', 'IN', 'A', '104.244.42.1', '22519', '2a05:87c7:8001:3b00:eade:27ff:fe69:cbae']['A', 'twitterinc.com.', 'A', 'twitterinc.com.', '3600', '1712799313000', '0.017455697059631348', '866401023', '0', '0', 'ans', '104.244.42.1', '', 'US', '13414', '[13414]', '104.244.42.0/24', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-11', '1712799720', 'twitter.com.', '239', 'IN', 'A', '75.126.135.131', '53274', '240e:b67:5ed:7500:1:c6ff:fe5f:fe16']['A', 'www.xyusk.com.', 'A', 'www.xyusk.com.', '124', '1712801585000', '0.36611059308052063', '866401023', '0', '0', 'ans', '75.126.135.131', '', 'US', '36351', '[36351]', '75.126.128.0/20', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-11', '1712848067', 'nytimes.com.', '208', 'IN', 'A', '75.126.164.178', '1003715', '159.75.8.103']['A', 'www.paoshu8.com.', 'A', 'www.paoshu8.com.', '114', '1712797547000', '0.23411835730075836', '866401023', '0', '0', 'ans', '75.126.164.178', '', 'US', '36351', '[36351]', '75.126.160.0/20', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-11', '1712863156', 'univ-grenoble-alpes.fr.', '2449', 'IN', 'A', '195.83.24.194', '26439', '2a10:d582:280b:0:c66e:1fff:fe3a:d734']['A', 'www.univ-grenoble-alpes.fr.', 'A', 'ksup.u-ga.fr.', '3600', '1712796121000', '0.052314579486846924', '866401023', '0', '0', 'ans', '195.83.24.194', '', 'FR', '2200', '[2200]', '195.83.0.0/16', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-11', '1712843062', 'twitter.com.', '139', 'IN', 'A', '4.78.139.54', '1007899', '112.48.5.95']['A', 'www.mhradio.org.', 'A', 'mhradio.org.', '3600', '1712795769000', '0.024911165237426758', '866401023', '0', '0', 'ans', '4.78.139.54', '', 'US', '3356', '[3356]', '4.0.0.0/9', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-11', '1712854486', 'twitter.com.', '145', 'IN', 'A', '108.160.169.54', '62897', '2408:8256:3311:1a60:da58:d7ff:fe03:afc']['A', 'www.383.com.', 'A', 'www.383.com.', '190', '1712801980000', '0.23920828104019165', '866401023', '0', '0', 'ans', '108.160.169.54', '', 'US', '19679', '[19679]', '108.160.160.0/20', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-11', '1712800965', 'twitter.com.', '96', 'IN', 'A', '74.86.17.48', '1007813', '106.14.6.196']['A', 'www.cdaxpropsvc.net.', 'A', 'www.cdaxpropsvc.net.', '232', '1712800773000', '0.23355698585510254', '866401023', '0', '0', 'ans', '74.86.17.48', '', 'US', '36351', '[36351]', '74.86.0.0/16', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-11', '1712862414', 'paypal.com.', '160', 'IN', 'A', '151.101.65.21', '51374', '2a00:1e88:c6e6:cc00:1:11ff:fe8e:4b75']['A', 'venmo-experience.com.', 'A', 'venmo-experience.com.', '300', '1712799751000', '0.08410647511482239', '866401023', '0', '1', 'ans', '151.101.65.21', '', 'US', '54113', '[54113]', '151.101.64.0/22', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
