['2024-04-13', '1712974895', 'twitter.com.', '124', 'IN', 'A', '59.24.3.173', '1006022', '58.41.14.231']['A', 'globalsdn.com.', 'A', 'globalsdn.com.', '188', '1712974131000', '0.2383752167224884', '866401023', '0', '0', 'ans', '59.24.3.173', '', 'KR', '4766', '[4766]', '59.24.0.0/13', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-13', '1713035213', 'paypal.com.', '117', 'IN', 'A', '192.229.210.155', '51374', '2a00:1e88:c3bb:4300:1:11ff:fe8e:4b75']['A', 'paypal.com.', 'A', 'paypal.com.', '300', '1712968470000', '0.08594638109207153', '866401023', '0', '1', 'ans', '192.229.210.155', '', 'US', '15133', '[15133]', '192.229.210.0/24', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-13', '1713035365', 'twitter.com.', '418', 'IN', 'A', '10.10.34.36', '6591', '2a07:4280:0:48::40']['A', 'www.rubik-music.ir.', 'A', 'www.rubik-music.ir.', '418', '1712968343000', '0.14524376392364502', '866401023', '0', '0', 'ans', '10.10.34.36', '', '-', '--', '[--]', '--', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-13', '1713033559', 'nytimes.com.', '2193', 'IN', 'A', '151.101.1.164', '1006193', '2400:5240:3000:1:94c4:6fff:fec5:f0f4']['A', 'nytco.com.', 'A', 'nytco.com.', '500', '1712968801000', '0.024531453847885132', '866401023', '0', '0', 'ans', '151.101.1.164', '', 'US', '54113', '[54113]', '151.101.0.0/22', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-13', '1712978901', 'nytimes.com.', '82', 'IN', 'A', '159.106.121.75', '1007890', '112.48.5.95']['A', 'sinaapp.com.', 'A', 'sinaapp.com.', '67', '1712968231000', '0.14502787590026855', '866401023', '0', '0', 'ans', '159.106.121.75', '', 'US', '749', '[749]', '159.106.0.0/16', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-13', '1712986029', 'twitter.com.', '254', 'IN', 'A', '31.13.95.169', '63067', '2409:8a3c:5118:64f0:da58:d7ff:fe03:5d9']['A', 'raidcall.com.', 'A', 'raidcall.com.', '80', '1712970618000', '0.24199016392230988', '866401023', '0', '0', 'ans', '31.13.95.169', '', 'ID', '32934', '[32934]', '31.13.64.0/18', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-13', '1712985972', 'twitter.com.', '182', 'IN', 'A', '108.160.162.115', '55328', '240e:390:893:5b20:1:75ff:feac:24bb']['A', 'www.xiaoshuowu.com.', 'A', 'www.xiaoshuowu.com.', '183', '1712970668000', '1.72566919028759', '866401023', '0', '0', 'ans', '108.160.162.115', '', 'US', '19679', '[19679]', '108.160.160.0/20', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-13', '1713033415', 'paypal.com.', '121', 'IN', 'A', '151.101.129.21', '11743', '2a0d:d05:300:3911:fa1a:67ff:fe4d:6bac']['A', 'paypal.com.', 'A', 'paypal.com.', '300', '1712968470000', '0.08594638109207153', '866401023', '0', '1', 'ans', '151.101.129.21', '', 'US', '54113', '[54113]', '151.101.128.0/22', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-13', '1712973450', 'nytimes.com.', '222', 'IN', 'A', '199.59.148.7', '1000418', '47.98.98.98']['A', 'www.yunxs.com.', 'A', 'www.yunxs.com.', '217', '1712967298000', '0.2224920094013214', '866401023', '0', '0', 'ans', '199.59.148.7', '', 'US', '13414', '[13414]', '199.59.148.0/22', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-13', '1713032625', 'twitter.com.', '525', 'IN', 'A', '104.244.42.65', '22814', '2403:5816:9138:0:ea94:f6ff:fe48:c8bc']['A', 'www.x.com.', 'A', 'x.com.', '1800', '1712968807000', '0.02734425663948059', '866401023', '0', '0', 'ans', '104.244.42.65', '', 'US', '13414', '[13414]', '104.244.42.0/24', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
