['2024-04-09', '1712682604', 'google.com.', '231', 'IN', 'A', '142.250.184.14', '61855', '84.120.147.168']['A', 'www.somepools555.pw.', 'A', 'www.somepools555.pw.', '1799', '1712628605000', '0.016701996326446533', '866401023', '0', '0', 'ans', '142.250.184.14', '', 'US', '15169', '[15169]', '142.250.184.0/24', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-09', '1712697457', 'google.com.', '133', 'IN', 'A', '216.58.214.14', '29989', '84.87.175.131']['A', 'www.youtube.com.lb.', 'A', 'youtube-ui.l.google.com.', '300', '1712625374000', '0.018054842948913574', '866401023', '0', '0', 'ans', '216.58.214.14', '', 'US', '15169', '[15169]', '216.58.214.0/24', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-09', '1712697466', 'ripe.net.', '52', 'IN', 'A', '193.0.11.51', '62047', '217.241.138.165']['A', 'ripe.net.', 'A', 'ripe.net.', '300', '1712624185000', '0.007025659084320068', '866401023', '0', '1', 'ans', '193.0.11.51', '', 'NL', '3333', '[3333]', '193.0.10.0/23', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-09', '1712682593', 'facebook.com.', '189', 'IN', 'A', '67.228.235.91', '1005739', '112.74.38.239']['A', 'www.365kk.net.', 'A', 'www.365kk.net.', '99', '1712628265000', '0.23537032306194305', '866401023', '0', '0', 'ans', '67.228.235.91', '', 'US', '36351', '[36351]', '67.228.192.0/18', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-09', '1712647770', 'google.com.', '49', 'IN', 'A', '142.250.179.110', '60601', '83.141.171.37']['A', 'www.darktv.nl.', 'A', 'www.darktv.nl.', '900', '1712622184000', '0.013364166021347046', '866401023', '0', '0', 'ans', '142.250.179.110', '', 'US', '15169', '[15169]', '142.250.0.0/15', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-09', '1712694596', 'google.com.', '44', 'IN', 'A', '142.250.186.174', '15093', '45.80.168.194']['A', 'xn--80aikhbrhr.com.', 'A', 'xn--80aikhbrhr.com.', '255', '1712622344000', '0.014398157596588135', '866401023', '0', '0', 'ans', '142.250.186.174', '', 'US', '15169', '[15169]', '142.250.0.0/15', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-09', '1712693640', 'google.com.', '140', 'IN', 'A', '142.250.184.206', '19279', '80.90.33.242']['A', 'kinos.cam.', 'A', 'kinos.cam.', '224', '1712625873000', '0.011907055974006653', '866401023', '0', '0', 'ans', '142.250.184.206', '', 'US', '15169', '[15169]', '142.250.184.0/24', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-09', '1712686502', 'facebook.com.', '107', 'IN', 'A', '31.13.73.9', '1005736', '101.132.145.132']['A', 'xsbiquge.com.', 'A', 'xsbiquge.com.', '101', '1712623630000', '0.23169167339801788', '866401023', '0', '0', 'ans', '31.13.73.9', '', 'IE', '32934', '[32934]', '31.13.73.0/24', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-09', '1712696355', 'facebook.com.', '131', 'IN', 'A', '156.233.67.243', '63067', '2409:8a3c:5118:64f0:da58:d7ff:fe03:5d9']['A', '383.com.', 'A', '383.com.', '162', '1712629424000', '0.7457102239131927', '866401023', '0', '0', 'ans', '156.233.67.243', '', 'BR', '984', '[984]', '156.233.64.0/18', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-09', '1712684458', 'google.com.', '59', 'IN', 'A', '142.250.184.238', '51625', '62.45.43.187']['A', 'kinolar.bond.', 'A', 'kinolar.bond.', '54', '1712624992000', '0.0130387544631958', '866401023', '0', '0', 'ans', '142.250.184.238', '', 'US', '15169', '[15169]', '142.250.184.0/24', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
